State,Number_of_Doctors,Number_of_Dentists,Number_of_Nurses,Number_of_other_Health_personels,No_of_facility,lat,long
Abia,177.0,37.0,287.0,2165.0,706,5.4540953,7.5153071
Adamawa,402.0,260.0,698.0,3205.0,838,9.5129772,12.3881887
Akwa-Ibom,345.0,64.0,107.0,953.0,374,4.9880607,7.795178277855076
Anambra,628.0,204.0,317.0,1901.0,762,6.2183136,6.9531842
Bauchi,299.0,84.0,893.0,4274.0,1122,10.6228284,10.0287754
Bayelsa,241.0,70.0,201.0,938.0,283,4.7629786,6.028898
Benue,340.0,50.0,531.0,3239.0,1089,7.3505747,8.7772877
Borno,474.0,23.0,843.0,3223.0,437,45.956665099999995,10.174282153040512
Cross River,441.0,58.0,543.0,2983.0,1022,5.8671966,8.5204774
Delta,1158.0,106.0,474.0,1292.0,546,33.3926893,-95.6749486
Ebonyi,1069.0,867.0,603.0,1646.0,646,6.1996918,8.0348906
Edo,285.0,68.0,325.0,836.0,428,6.6076575,5.9722713
Ekiti,857.0,354.0,326.0,2707.0,450,7.736891,5.2738326
Enugu,748.0,62.0,220.0,2709.0,691,6.5536094,7.4143061
FCT,1474.0,130.0,622.0,1496.0,351,8.8311228,7.1724673
Gombe,462.0,53.0,1061.0,2720.0,624,10.38301,11.206567
Imo,488.0,82.0,415.0,1722.0,674,5.5859456,7.0669651
Jigawa,214.0,46.0,956.0,2516.0,729,12.3252362,9.5103296
Kaduna,957.0,114.0,1948.0,4588.0,1175,10.3825318,7.8533226
Kano,1506.0,208.0,1670.0,6525.0,1375,11.8948389,8.5364136
Katsina,345.0,106.0,707.0,5682.0,1636,12.5630825,7.6207063
Kebbi,265.0,22.0,858.0,3611.0,894,11.4167574,4.1074545
Kogi,368.0,50.0,320.0,3038.0,1059,7.7949602,6.6868669
Kwara,1143.0,655.0,443.0,2769.0,757,8.8367891,4.6688487
Lagos,2397.0,597.0,1250.0,2478.0,757,6.4550575,3.3941795
Nasarawa,325.0,44.0,404.0,3233.0,851,8.4387868,8.2382849
Niger,264.0,33.0,620.0,3753.0,1380,9.6187093,6.5475752
Ogun,391.0,105.0,221.0,1162.0,520,6.9788582,3.4389293
Ondo,167.0,71.0,286.0,1397.0,453,7.0209686,5.0567477
Osun,938.0,121.0,288.0,2213.0,728,7.5484047,4.4978307
Oyo,1089.0,140.0,536.0,2331.0,928,8.2151249,3.5642897
Plateau,1188.0,74.0,399.0,3439.0,1232,9.0583446,9.6826289
Rivers,519.0,113.0,322.0,2666.0,386,4.8416028,6.8604088
Sokoto,71.0,22.0,183.0,1722.0,352,13.0611195,5.3152203
Taraba,180.0,25.0,383.0,2538.0,736,8.0141334,10.7376336
Yobe,199.0,126.0,962.0,1828.0,444,12.1233242,11.5065937
Zamfara,211.0,47.0,821.0,2522.0,716,12.0078998,6.4191432
